LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(µm),(µm),(µm),(sec),,(µm),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(µm),(µm),(µm),(µm),(radians),,(µm^2),(µm),,,
ID8235,8235,13,2698.0,13.633653197050863,113.46407343604818,0.0,222.0,222,8.765179464355446,1,,3861.195474777448,4048.0,1702.0,5176.0,1.0409783E7,710.1797331849438,0.364977989686385,2.907532220039608,-0.04823065241013371,0.030408446463313973,10.81307614363537,7.107427713367202,0.09847722953940741,1.5213768721557053,241.36344605394405,60.212197905168104,0.8365894837913768,0.9763153136864942,3.8756873146475805
ID6956,6956,13,1951.0,6.459325895477004,111.20522376576615,0.0,165.0,165,7.448015130745009,1,,2914.310220852594,3075.0,1460.0,3864.0,5674162.0,475.4344768107275,0.2929534826464769,2.7777353647359853,-0.6036508965187866,-0.13698868224785546,9.803693456142726,6.229341117343565,0.7106586625266316,1.5737930017747055,174.27334743783857,50.9464710565052,0.8437477419642003,0.9813742763654669,3.8592118549740833
ID7475,7475,13,2281.0,6.936582308773591,108.29803903223845,0.0,192.0,192,8.05729318883165,1,,3185.7975406236274,3337.0,1678.0,4180.0,7254061.0,516.9412496262285,0.29932375994387606,2.839427549502569,-0.3848376955689112,-0.16346038423805404,10.40353984148112,6.542083005943983,0.8123571440083571,1.5902488293145636,203.9521119155828,55.135783598393715,0.8430842349037675,0.9812903225806454,3.8607301556402276
ID6965,6965,13,2287.0,6.153910310449574,113.02866738970468,0.0,164.0,164,8.075812685376683,1,,2748.2407326646317,2964.0,1228.0,3631.0,6301716.0,588.4139658872143,0.2684950292328751,1.977193963486079,-1.498538096207794,-0.2878573222387978,10.55057125359464,7.637402956776314,0.626674112169859,1.3814344107945236,204.89074753912587,55.56056652488804,0.8340630468634836,0.9755267078101727,3.8815527440495456
ID7225,7225,13,2566.0,9.233749349416128,110.24141161276478,0.0,178.0,178,8.545737821779783,1,,2759.8482839313574,2950.0,1345.0,3621.0,7076251.0,508.9908646963159,0.3149338993655698,2.5972915645889465,-0.014950910045110915,-0.05735890647296164,11.107588850226808,6.623616581057523,0.7339458963809019,1.6769673658334516,229.42936455461037,59.70344062916547,0.8088353932306767,0.9652124858969542,3.94162095858937
ID7737,7737,13,2407.0,6.642001757352263,105.846489338467,0.0,202.0,202,8.27507356828516,1,,3235.293261231281,3436.0,1595.0,4332.0,7777645.0,640.2800860057342,0.2710373818534856,2.1549863526554587,-1.4957606741257836,-0.32186491180155813,10.922401816805976,7.603083056937313,0.5235343629662159,1.436575364889642,215.1263455291912,56.43108960656295,0.8489196605650413,0.9798452768729639,3.8474380537586703
ID7994,7994,13,5454.0,10.343357409962964,106.19709408687811,0.0,214.0,214,12.45766067548655,1,,3379.8556493030082,3612.0,1267.0,4775.0,1.8426973E7,802.6419377539545,0.4164964336031162,2.476293409601858,-0.2905537324925134,-0.024553779903841742,13.779514498185407,11.76652178850363,1.1265790642778681,1.171077974091592,487.554161028967,85.98692098144846,0.8286438953923692,0.9625838333921634,3.8942243172940247
ID7228,7228,13,1132.0,3.6314345533687993,119.07201182326645,0.0,178.0,178,5.674220515383218,1,,2930.2522123893805,3036.0,1691.0,3702.0,3311185.0,408.1654164572676,0.1750500716047444,2.138970096988439,-2.562489633534834,-0.8906507097151773,9.033018477658215,5.786626570001574,0.636438266374781,1.561016313802976,101.1491626703844,40.421694111126314,0.7779346816057253,0.9856271777003489,4.019142136796377
ID8252,8252,13,2466.0,9.795389930712892,100.4393767742123,0.0,215.0,215,8.371651411876492,1,,3759.0227549776514,3974.0,1402.0,5227.0,9250955.0,785.174817861572,0.28464820441608735,2.1215966564281126,-0.16905746037592825,0.20351572735125995,11.182233229909569,6.58963690515924,0.03907486298288539,1.6969422429261067,220.1770991225424,58.42150777381426,0.8106557862933638,0.9681603773584909,3.9371928571201895
ID8258,8258,13,2524.0,10.874996235554446,112.54758181595504,0.0,215.0,215,8.46544725405443,1,,3737.1767275615566,3883.0,1478.0,5140.0,9410211.0,734.1613926646072,0.28572069470108025,2.262440424273168,-0.044540619784919834,-0.07788127585631613,10.791601023949662,6.714155571983986,0.12488001676196081,1.6072908809232163,225.1384588469845,57.58851347084959,0.8530761816248804,0.9778683750728013,3.8380534964283037
