target,status,rows,positives,positive_rate,groups,folds,features,roc_auc_mean,roc_auc_std,average_precision_mean,average_precision_std,horizon,feature
division_within_5_frames,ok,54188,179,0.00330331438694914,57,5,1,0.4531612536298576,0.041531437171078364,0.003131452141707635,0.002001157035006586,5,shape_contour_centroid_dy
division_within_10_frames,ok,45161,266,0.005890037864529129,57,5,1,0.7657967679356456,0.07235363469261226,0.02664126983772125,0.016197330732368103,10,SOLIDITY
division_within_10_frames,ok,45161,266,0.005890037864529129,57,5,1,0.7361564078272593,0.12570745647765844,0.015181760658118474,0.00332972647165316,10,shape_mean_radius
division_within_10_frames,ok,45161,266,0.005890037864529129,57,5,1,0.7281593321694969,0.11789646540831746,0.014979782438878935,0.003039721254068974,10,ELLIPSE_MINOR
division_within_10_frames,ok,45161,266,0.005890037864529129,57,5,1,0.7277484110549095,0.12824828448686462,0.01537993094258924,0.0036639794571011334,10,RADIUS
division_within_10_frames,ok,45161,266,0.005890037864529129,57,5,1,0.7277445555109242,0.12825006814207748,0.015378337313252855,0.0036638200662531396,10,AREA
division_within_10_frames,ok,45161,266,0.005890037864529129,57,5,1,0.71594695165477,0.14277712644953344,0.01824120659122693,0.003795339747044075,10,ELLIPSE_MAJOR
division_within_10_frames,ok,45161,266,0.005890037864529129,57,5,1,0.6917015201197273,0.14843158937153123,0.01612602385949163,0.003993653855175507,10,PERIMETER
division_within_10_frames,ok,45161,266,0.005890037864529129,57,5,1,0.6444448799826408,0.09818586458950651,0.010170252032759756,0.005067407424673719,10,CIRCULARITY
division_within_10_frames,ok,45161,266,0.005890037864529129,57,5,1,0.510871831144183,0.01835542165985084,0.00697810864203603,0.0031656427202707543,10,shape_contour_centroid_dx
division_within_10_frames,ok,45161,266,0.005890037864529129,57,5,1,0.49754706539421634,0.05339784863388131,0.006830340044222995,0.003975484804074974,10,shape_contour_centroid_dy
division_within_10_frames,ok,45161,266,0.005890037864529129,57,5,1,0.4807484704010376,0.043309389835941355,0.011141462454002826,0.007585032895922157,10,shape_reconstruction_area_ratio
